"John_KJV" "Luke_KJV" "Mark_KJV" "Matthew_KJV"
"arose" 0.0157117419084529 0.0462623848259378 0.0593432678359488 0.0506671170410404
"five" 0.0314234838169058 0.042407186090443 0.0329684821310827 0.0591116365478804
"glory" 0.0628469676338117 0.0462623848259378 0.0197810892786496 0.0380003377807803
"must" 0.0523724730281764 0.0539727822969274 0.0461558749835158 0.0211112987671002
"servants" 0.0366607311197235 0.0346967886194533 0.0263747857048661 0.0675561560547205
"side" 0.0418979784225411 0.0308415898839585 0.0791243571145984 0.0337780780273602
"coming" 0.0471352257253587 0.0385519873549482 0.0395621785572992 0.0422225975342003
"delivered" 0.0314234838169058 0.061683179767917 0.0395621785572992 0.0295558182739402
"find" 0.0418979784225411 0.0539727822969274 0.0197810892786496 0.0422225975342003
"till" 0.0157117419084529 0.042407186090443 0.0329684821310827 0.0675561560547205
"without" 0.0366607311197235 0.0346967886194533 0.0725306606883819 0.0337780780273602
"works" 0.0995076987535351 0.00771039747098963 0.0131873928524331 0.0506671170410404
"fear" 0.0209489892112706 0.0771039747098963 0 0.0422225975342003
"feast" 0.10998219335917 0.0231311924129689 0.0197810892786496 0.0168890390136801
"healed" 0.00523724730281764 0.0655383785034118 0.0395621785572992 0.0422225975342003
"seek" 0.0785587095422646 0.0385519873549482 0.0263747857048661 0.0211112987671002
"stone" 0.057609720330994 0.0385519873549482 0.0329684821310827 0.0337780780273602
"known" 0.0890332041478999 0.0385519873549482 0.00659369642621654 0.0211112987671002
"right" 0.0104744946056353 0.0346967886194533 0.0527495714097323 0.0591116365478804
"three" 0.0261862365140882 0.0385519873549482 0.0395621785572992 0.0506671170410404
"fire" 0.0157117419084529 0.0308415898839585 0.0593432678359488 0.0506671170410404
"follow" 0.0523724730281764 0.0346967886194533 0.0461558749835158 0.0253335585205202
"generation" 0 0.0539727822969274 0.0329684821310827 0.0548893767944604
"head" 0.0261862365140882 0.0269863911484637 0.0593432678359488 0.0464448572876203
"herod" 0 0.0462623848259378 0.0527495714097323 0.0506671170410404
"judgment" 0.073321462239447 0.0154207949419793 0.00659369642621654 0.0548893767944604
"others" 0.0366607311197235 0.0385519873549482 0.0461558749835158 0.0337780780273602
"parable" 0.00523724730281764 0.061683179767917 0.0395621785572992 0.0380003377807803
"straightway" 0.00523724730281764 0.0154207949419793 0.125280232098114 0.0337780780273602
"tree" 0.0104744946056353 0.042407186090443 0.0263747857048661 0.0633338963013005
"could" 0.0209489892112706 0.0462623848259378 0.0725306606883819 0.0168890390136801
